customer_id,total_spent,orders,total_units,first_purchase,last_purchase,average_order_value,active_days,customer_value_segment
14646,280206.02,73,196915,2010-12-20 10:09:00,2011-12-08 12:12:00,3838.4386301369864,354,High
18102,259657.3,60,64124,2010-12-07 16:42:00,2011-12-09 11:50:00,4327.621666666667,367,High
17450,194390.79,46,69973,2010-12-07 09:23:00,2011-12-01 13:29:00,4225.886739130435,360,High
16446,168472.5,2,80997,2011-05-18 09:52:00,2011-12-09 09:15:00,84236.25,205,High
14911,143711.17,201,80240,2010-12-01 14:05:00,2011-12-08 15:54:00,714.980945273632,373,High
12415,124914.53,21,77374,2011-01-06 11:12:00,2011-11-15 14:22:00,5948.310952380953,314,High
14156,117210.08,55,57768,2010-12-03 11:48:00,2011-11-30 10:54:00,2131.0923636363636,362,High
17511,91062.38,31,64549,2010-12-01 10:19:00,2011-12-07 10:12:00,2937.496129032258,371,High
16029,80850.84,63,40108,2010-12-01 09:57:00,2011-11-01 10:27:00,1283.3466666666666,336,High
12346,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,1,High
16684,66653.56,28,50255,2010-12-16 17:34:00,2011-12-05 14:06:00,2380.4842857142858,354,High
14096,65164.79,17,16352,2011-08-30 10:49:00,2011-12-05 17:17:00,3833.2229411764706,98,High
13694,65039.62,50,63312,2010-12-01 12:12:00,2011-12-06 09:32:00,1300.7924,370,High
15311,60632.75,91,38147,2010-12-01 09:41:00,2011-12-09 12:00:00,666.2939560439561,374,High
13089,58762.08,97,31025,2010-12-05 10:27:00,2011-12-07 09:02:00,605.7946391752578,367,High
17949,58510.48,45,30546,2010-12-03 13:12:00,2011-12-08 18:46:00,1300.232888888889,371,High
15769,56252.72,26,29672,2010-12-03 15:16:00,2011-12-02 13:52:00,2163.566153846154,364,High
15061,54534.14,48,28920,2010-12-02 15:19:00,2011-12-06 12:06:00,1136.1279166666666,369,High
14298,51527.3,44,58343,2010-12-14 12:59:00,2011-12-01 13:12:00,1171.075,353,High
14088,50491.81,13,12665,2011-01-21 13:07:00,2011-11-29 16:16:00,3883.9853846153846,313,High
15749,44534.3,3,18028,2011-01-11 12:55:00,2011-04-18 13:20:00,14844.766666666668,98,High
12931,42055.96,15,28004,2010-12-17 09:45:00,2011-11-18 12:39:00,2803.730666666667,337,High
17841,40519.84,124,22834,2010-12-01 14:41:00,2011-12-08 12:07:00,326.77290322580643,372,High
